TOKYO   WMO Station ID:47662 Lat 35o41.5'N  Lon 139o45.0'E,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,69.2,31.3,69.3,168.6,127.3,89.4,122.1,66.3,173.9,113.6,131.9,25.1,1188
1901,74.4,30.2,131.2,132.6,149.3,172.1,229,53.8,130.8,311.1,63.6,110.8,1588.9
1902,33.4,20.9,92.4,140.3,222.7,204.7,159.6,310.3,244.2,104.7,105.1,115.4,1753.7
1903,122.4,80,165.9,155.5,159,145.4,286.8,22.6,284.4,294.7,130,65.5,1912.2
1904,7,67.7,101.5,97.3,142.4,91.6,239.4,74.7,200.5,248.8,14.5,96.4,1381.8
1905,59.8,47.6,97.9,152.2,131,237.4,94.2,202.5,83.5,70.5,66.8,86.7,1330.1
1906,62.5,166.7,61.5,43.5,80.6,165.3,154.9,253.5,226.4,220.5,61.7,22.4,1519.5
1907,47.1,4.4,144.1,143.8,168.1,169.8,102.9,219,265.9,226.2,127.6,21.5,1640.4
1908,28.3,35.6,137,185.3,147.8,219,152.8,223.6,370.6,116.5,14.8,60.8,1692.1
1909,103.9,32,196.6,140.3,178.1,172.6,118.3,92.2,346.5,57.8,72.6,0.8,1511.7
1910,119.8,45.1,70.2,79.3,176.2,112.6,147.2,419.9,201.4,307.9,46.9,24.2,1750.7
1911,97.5,30.7,117.6,130.1,101.2,274.5,304.6,400.5,173.5,150.8,53.7,32.2,1866.9
1912,49.9,120.1,115.6,142,106.1,264.1,152.7,67.9,400.7,107.5,106.1,101.6,1734.3
1913,61.1,82.5,45.1,68,187,149.4,88.3,252.2,262.3,244.9,106.8,49.4,1597
1914,23.5,64.9,197,178.2,193.7,124.7,26,278,355.4,151.8,54,47.2,1694.4
1915,94,141.2,106.3,211.1,153.8,241.6,19.5,326.1,213,317.4,84.8,17.9,1926.7
1916,27.5,139,61.1,113.8,135.2,141.1,319.2,202.8,170.6,301.5,267.9,51.1,1930.8
1917,33,15.5,170.2,80.5,72.3,177.4,17,45.3,255.4,355.2,81.7,4.4,1307.9
1918,10,64.9,162.9,107.9,123.2,148.8,82.2,78.1,202.5,134.8,141.6,79.6,1336.5
1919,85.1,142.4,93,53.5,90.8,118.6,177.5,95.5,248.4,162.8,178.4,88.2,1534.2
1920,62.6,111.4,128.3,194.5,259.6,218.9,117.9,325.1,369.8,240.9,65.9,98.8,2193.7
1921,56.5,86.2,99.3,136.8,269.4,206.5,209,154.7,448.8,306.4,4.6,47,2025.2
1922,60.5,226.9,104.7,180.1,96.7,139.9,115.3,199.3,45.1,168.9,63.6,10.2,1411.2
1923,64.2,119.8,107.5,116.1,192.4,280.9,168.2,42.2,259.4,164,138.1,44.6,1697.4
1924,8.7,68.4,64.2,170.8,168.3,114.2,12.9,185.9,363.2,260.8,28.4,29.5,1475.3
1925,43.1,53.5,33,131.6,109,105.3,128.5,360.5,359.4,239.6,100.7,48.3,1712.5
1926,7.3,50,70.6,101.4,235.5,134.4,60.8,84.2,182.4,95.2,41.3,113.7,1176.8
1927,20.3,42.7,207,112.3,194.8,120.8,116.7,107.3,345,80.1,71.5,26.4,1444.9
1928,71.7,91,158.2,169.8,117.9,320.8,127.4,247.3,83.7,265.9,64.1,32.6,1750.4
1929,1.7,2.9,50.1,134.8,255.3,115.7,58.4,63.6,544.1,323.1,203.7,155.7,1909.1
1930,41.4,108.3,162.1,149,105.2,123.2,139.3,51.5,191.9,255.6,77.7,71,1476.2
1931,73,85.3,83,69.7,244.2,114.9,193.6,49,228,249.1,107.6,67.1,1564.5
1932,38.7,61.2,108,156.5,63.8,187.4,115.5,86.8,363.1,153.9,267.7,87.4,1690
1933,58.4,18.7,133.9,135.4,60.3,34.1,44.2,43.2,42.7,301.9,84.1,54.4,1011.3
1934,18.4,28.3,68.3,150,83.9,133.5,111.1,23.4,200.6,196.1,141.5,91.6,1246.7
1935,58.6,110.7,115.9,142.2,84.2,131.3,99.1,196.6,369.3,214.4,74.7,59.8,1656.8
1936,32.1,129,41.4,198.9,169.1,120.4,246.3,92.5,232,252.8,60.1,53,1627.6
1937,78.1,144.9,145.7,126.5,124.5,131.4,48.6,10.8,181.6,192.2,95.4,79.3,1359
1938,32,65.5,92,96.4,127.5,649,255.1,191.9,265.2,351.5,21,82.5,2229.6
1939,35.1,52.7,98.3,211.3,139.1,235.4,172.2,293.5,266.7,182.1,53.8,9.8,1750
1940,0,53.9,65.2,163.4,54.3,185.7,28.4,187,191.5,72.3,65.8,26.9,1094.4
1941,51.7,64.5,157,75.1,206.9,209.6,673.7,181.5,218.6,54.6,165.6,96.4,2155.2
1942,5.9,75.7,113.6,155,132.6,171.9,8.6,277.3,278,147.4,81.6,21.9,1469.5
1943,61.9,91.2,31.4,120.3,131.5,125.2,134.9,109,186.3,363.4,22.5 ),13.7,1391.3
1944,12.3,27.7,118.1,188.8,69.4,93,118.7,53.2,76.9,418.8,129.2,22.7,1328.8
1945,2.1,100.3,57,94,130.9,89.1,208.5 ),126.8,118.4,530.8,120.8,37.2,1615.9
1946,33.4,95.4,103.7,118.8,113.3,59.7,127,56.2,145.5,234.3,113.1,35.9,1236.3
1947,69.9 ),36,77,62.1,146.6,90.1,19.9,128,213.2,121.4,27.2,46.4 ),1037.8
1948,39.7,75.5 ),67.4,149.2,93.4,215.5,323,287.6,197.6,65,193.3,50.2,1757.4
1949,54.5,70.9,56.8,120.5,109.7,284.3,81.6,253.2,200.1,296.9,167.1,86.5,1782.1
1950,89.3,78.7,69.3,147.4,111.8,372.1,253.8,297.7,64.9,223.5,116.4,126.8,1951.7
1951,36.4,120.4,149.1,177.1,86.4,144.3,157.4,220.6,217.8,170.1,68.4,41.8,1589.8
1952,98.9,79.9,221.2,202.8,136.7,242.6,205.3,73.3,129,105,124.4,21.5,1640.6
1953,38.2,42.1,136.5,49.6,170.3,191.2,183.8,247.2,248.1,144,21.3,47.1,1519.4
1954,120.4,53,115.2,177.3,136.8,304.5,121.9,120.8,246.4,145.1,149.6,79.7,1770.7
1955,43.3,89.4,170.5,87.5,158.2,81,71,201.9,197.9,319.4,110.3,23.5,1553.9
1956,102.2,52.3,152.6,137.5,309.1,151.6,64.8,107.1,197.1,302.8,75.9,4.3,1657.3
1957,2.6,93.9,77.4,118.5,164.1,320.9,143.1,47.4,243.6,121.8,51.6 ),115.1,1500
1958,69.5,67.1,62.9,47.5,80.3,63,197.5,83.4,670.9,275.9,89.4,97.5,1804.9
1959,54.7,115.3,92.3,162.7,196.9,123,71,137.2,162,217.3,117.6,176.3,1626.3
1960,31.2,8.8,71.2,164.8,124.8,83,31.6,215,177.1,182,123.1,69.3,1281.9
1961,39,43.5,106.6,183.1,55.5,305.5,29.5,30.9,37,338.4,50.7,40.5,1260.2
1962,40.5,13.5,65.5,124.2,211.5,244.5,166.9,50.1,4.9,119.8,151.8,62.8,1256
1963,0.2,21.3,86.7,76.1,135.1,248.2,65.9,382.2,144.2,294.7,90.6,29.8,1575
1964,144.6,64,99.7,94.2,80.4,139.9,45.9,110.8,132.4,130.5 ),50.3 ),47.5,1140.2
1965,48.0 ),10.5 ),44.5 ),87.0 ),400,219.5 ),97.0 ),234.5 ),204.5 ),53.0 ),131.5,66.0 ),1596
1966,23.6,122,99.9,133.7,196.2,510.2,160.8,54.5,197.1,108.5,29,8,1643.5
1967,32.2,43.8,69.7,104.7,49.3,109.3,89.2,67.3,148.8,214.7,61.4,32.9,1023.3
1968,9.5,48,94,117.5,185.5,175,136,256,109.5,152.5,19.5,188,1491
1969,54.5,100,121,73,88.5,187.5,102,131.5,238.5,146,93.5,7,1343
1970,58.5,34.5,46.5,94,161.5,218,118.5,20.5,86,98.5,144.5,41,1122
1971,32,38,67.5,134,110,91.5,153.5,195,273,258.5,30.5,55,1438.5
1972,113.5,142,44,186.5,116,107,301,94.5,281,43.5,43,155.5,1627.5
1973,136,45,10,143,97.5,121.5,49.5,50,155,237.5,104.5,0,1149.5
1974,29,58.5 ),114,151,93.5,204.5,270.5,179,246.5,165,30.5,38.5,1580.5
1975,67.5,75,108,161.5,151,106.5,175.5,26.5,99.5,273,245,51.5,1540.5
1976,0.5,128,87,129,218,186,102,159,284,155,78,31,1557.5
1977,19.5,27,167,110.5,96.5,202.5,91,290.5,233.5,60,102.5,53.5,1454
1978,28,32,115.5,186.5,130,104,45,26,124,147,65,27,1030
1979,59,96,92,109.5,148.5,63,88.5,104.5,146.5,320.5,182.5,43,1453.5
1980,88.5,26,173.5,107,154.5,172.5,202,168.5,181.5,136,133.5,34,1577.5
1981,3.5,38,113,166,151.5,103,167,133,138.5,343.5,99,7.5,1463.5
1982,32.5,51.5,73,134,85.5,224.5,140,152.5,371.5,159.5,136,15,1575.5
1983,29.5,50.5,99,114.5,105.5,198,141.5,168.5,242.5,130,53.5,7.5,1340.5
1984,50,51,69,64,77.5,202,81.5,31.5,61,73.5,50.5,68,879.5
1985,4.5,142,134.5,201.5,89.5,381,115,146,106,92.5,85.5,18.5,1516.5
1986,15,27.5,188,88,210,138,137,233.5,190.5,74,41,115.5,1458
1987,38,29.5,94,42.5,65,120.5,146.5,45.5,214.5,193,39.5,60.5,1089
1988,28,17.5,185,107.5,144,198,158,341.5,251.5,58.5,26,0,1515.5
1989,95,107,118,187,210,205,154,360.5,204,197,71,29,1937.5
1990,32.5,116.5,97.5,137.5,120.5,68,51,181.5,287,148.5,234,38,1512.5
1991,55,69,164,112.5,61,142,72,238,445.5,533,114,36,2042
1992,50,36,205,167.5,134,237,111.5,9,108,328,168,65.5,1619.5
1993,115,57,60.5,58,65.5,260,316.5,412,140,156,167,65,1872.5
1994,50,88.5,114.5,49,133.5,144.5,93.5,92.5,235.0 ),57,50.5,23,1131.5
1995,36,27,180,99.5,204.5,185.5,171,31,164.5,79,42,0,1220
1996,13,45,118,111,128,36,253.5,31.5,382,83.5,84,48,1333.5
1997,29,21.5,106,105.5,186,170.5,185,144,204,19,91,40.5,1302
1998,122,110.5,108,188,140.5,150.5,156.5,143.5,229,142.5,7.5,48,1546.5
1999,19.5,35.5,144.5,205,103.5,192.5,342,301,91,87.5,93,7,1622
2000,66.5,4,85.5,151.5,109,232,373.5,162,164,142.5,106,6.5,1603
2001,126.5,23,107.5,40.5,170.5,144.5,41.5,136.5,204,343,123.5,30,1491
2002,98.5,25,82,58,112.5,151.5,124,120,207,194,27.5,94.5,1294.5
2003,101,53.5,159.5,121,172.5,85,187.5,370,150,171.5,229.5,53,1854
2004,3.5,20,129.5,69.5,149,112.5,23.5,79.5,195,780,108.5,79.5,1750
2005,77,48,71,81,180.5,170.5,247.5,189.5,177.5,201.5,34.5,3.5,1482
2006,67,113,79.5,123,99,138.5,165,126,175.5,318,135,200.5,1740
2007,42,57,77,134,115.5,80,253,9.5,319.5,135.5,37,72,1332
2008,17.5,57,119.5,240,255,225.5,48,387.5,158.5,204.5,74,70.5,1857.5
2009,142,46.5,98.5,162.5,242,226,78.5,242,53,276.5,151.5,82.5,1801.5
2010,9,115,143.5,214,114,108,70,27,428,211,94.5,145.5,1679.5
2011,3.5,151,74,96,213.5,116.5,54.5,244,235,119.5,112.5,59.5,1479.5
2012,50,94,144.5,118.5,231,185,130,25,214.5,154.5,154,69,1570
2013,70,30,44.5,283,56,159,115.5,99,231.5,440,26,59.5,1614
2014,24.5,157.5,113.5,155,135.5,311,105.5,105,155.5,384.5,98.5,62,1808
2015,92.5,62,94,129,88,195.5,234.5,103.5,503.5,57,139.5,82.5,1781.5
2016,85,57,103,120,137.5,174.5,81.5,414,287,96.5,139,84,1779
2017,26,15.5,85.5,122,49,106.5,81,141.5,209.5,531.5,47,15,1430
2018,48.5,20,220,109,165.5,155.5,107,86.5,365,61.5,63,44,1445.5
2019,16,42,117.5,90.5,120.5,225,193,110,197,529.5,156.5,76.5,1874
2020,135,15,131,296.5,118,212.5,270.5,61.5,117.5,205,14.5,13,1590
2021,43.5,88.5,173,156,99.5,168.5,310,382.5,222.5,199.5,93,116.0 ),2052.5
,,,,,,,,,,,,,
Remarks,,,,,,,,,,,,,
